name,type,test_categories,sample_type,test_details,description_in_english,description_in_urdu
Calcitonin,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"This test measures the level of calcitonin in your blood. Calcitonin is a hormone made by your thyroid, a small, butterfly-shaped gland located near the throat. Calcitonin helps control how the body uses calcium. Calcitonin is a type of tumor marker.","یہ ٹیسٹ آپ کے خون میں کیلسیٹونن کی سطح کی پیمائش کرتا ہے۔ کیلسیٹونن ایک ہارمون ہے جو آپ کے تھائرائڈ کے ذریعے بنایا جاتا ہے، جو گلے کے قریب واقع ایک چھوٹی، تتلی کی شکل کا غدود ہے۔ Calcitonin جسم کیلشیم کے استعمال کو کنٹرول کرنے میں مدد کرتا ہے۔ کیلسیٹونن ٹیومر مارکر کی ایک قسم ہے۔"
Calcium (24 Hrs Urine),Test,Chem & Immuno,Urine,,"A calcium in urine test may be used to diagnose or monitor how well your kidney are working. It may be used if you have symptoms of kidney stones, which are more likely to form if you have too much calcium in your urine","پیشاب کے ٹیسٹ میں کیلشیم کا استعمال اس بات کی تشخیص یا نگرانی کے لیے کیا جا سکتا ہے کہ آپ کا گردہ کتنی اچھی طرح سے کام کر رہا ہے۔ اگر آپ کے پاس گردے کی پتھری کی علامات ہوں تو اسے استعمال کیا جا سکتا ہے، جو آپ کے پیشاب میں بہت زیادہ کیلشیم کی صورت میں بننے کا امکان زیادہ ہوتا ہے۔"
Calcium (Fluid),Test,Chem & Immuno,Body Fluid,,A calcium test measures the level of calcium in your blood. Abnormal calcium levels may indicate bone disease or other medical conditions,کیلشیم ٹیسٹ آپ کے خون میں کیلشیم کی سطح کی پیمائش کرتا ہے۔ کیلشیم کی غیر معمولی سطح ہڈیوں کی بیماری یا دیگر طبی حالات کی نشاندہی کر سکتی ہے۔
Calcium (Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A calcium test measures the level of calcium in your blood. Abnormal calcium levels may indicate bone disease or other medical conditions,کیلشیم ٹیسٹ آپ کے خون میں کیلشیم کی سطح کی پیمائش کرتا ہے۔ کیلشیم کی غیر معمولی سطح ہڈیوں کی بیماری یا دیگر طبی حالات کی نشاندہی کر سکتی ہے۔
Calcium (Spot Urine),Test,Chem & Immuno,Urine,,"A calcium in urine test may be used to diagnose or monitor how well your kidney are working. It may be used if you have symptoms of kidney stones, which are more likely to form if you have too much calcium in your urine","پیشاب کے ٹیسٹ میں کیلشیم کا استعمال اس بات کی تشخیص یا نگرانی کے لیے کیا جا سکتا ہے کہ آپ کا گردہ کتنی اچھی طرح سے کام کر رہا ہے۔ اگر آپ کے پاس گردے کی پتھری کی علامات ہوں تو اسے استعمال کیا جا سکتا ہے، جو آپ کے پیشاب میں بہت زیادہ کیلشیم کی صورت میں بننے کا امکان زیادہ ہوتا ہے۔"
Calcium / Creatinine Ratio (Urine Random / Spot),Test,Chem & Immuno,Urine,,It is used to detect calcium loss in urine.,یہ پیشاب میں کیلشیم کی کمی کا پتہ لگانے کے لیے استعمال ہوتا ہے۔
Calcium Ionized ,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Ionized calcium is calcium in your blood that is not attached to proteins. It is also called free calcium. All cells need calcium in order to work. Calcium helps build strong bones and teeth. It is important for heart function.,آئنائزڈ کیلشیم آپ کے خون میں موجود کیلشیم ہے جو پروٹین سے منسلک نہیں ہے۔ اسے مفت کیلشیم بھی کہا جاتا ہے۔ تمام خلیوں کو کام کرنے کے لیے کیلشیم کی ضرورت ہوتی ہے۔ کیلشیم مضبوط ہڈیوں اور دانتوں کی تعمیر میں مدد کرتا ہے۔ یہ دل کے کام کے لیے ضروری ہے۔
Calprotectin (Stool),Test,Microbiology,Stool,,"Fecal calprotectin 1 (FC) is a protein found in leucocytes, and it appears in the intestinal mucosa when there is inflammation. It can be detected in the stool. If a patient's test results show positive calprotectin, it means that there is intestinal inflammatory activity.","Fecal calprotectin 1 (FC) ایک پروٹین ہے جو leucocytes میں پایا جاتا ہے، اور یہ آنتوں کے mucosa میں ظاہر ہوتا ہے جب سوزش ہوتی ہے۔ پاخانہ میں اس کا پتہ لگایا جا سکتا ہے۔ اگر مریض کے ٹیسٹ کے نتائج مثبت کیلپروٹیکٹن دکھاتے ہیں، تو اس کا مطلب ہے کہ آنتوں میں سوزش کی سرگرمی ہے۔"
Cannabinoids (Urine Random/Spot),Test,Chem & Immuno,Urine,,A positive test for cannabinoids indicates the presence of cannabinoid breakdown products,cannabinoids کے لیے ایک مثبت ٹیسٹ cannabinoids کی خرابی کی مصنوعات کی موجودگی کی نشاندہی کرتا ہے۔
Carbamazepine (Tegretol),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Carbamazepine is used to treat certain types of seizures (epilepsy). It is also used to relieve pain due to trigeminal neuralgia (tic douloureux) and in the treatment of bipolar disorder . It is used to detect level of medicine in body.,کاربامازپائن کا استعمال بعض قسم کے دوروں (مرگی) کے علاج کے لیے کیا جاتا ہے۔ یہ ٹرائیجیمنل نیورلجیا (ٹک ڈولوورکس) کی وجہ سے درد کو دور کرنے اور دوئبرووی عوارض کے علاج میں بھی استعمال ہوتا ہے۔ یہ جسم میں ادویات کی سطح کا پتہ لگانے کے لیے استعمال ہوتا ہے۔
Catecholamines,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"This test measures the levels of catecholamines in the blood. Catecholamines are hormones made by the adrenal glands. The three catecholamines are epinephrine (adrenalin), norepinephrine, and dopamine.","یہ ٹیسٹ خون میں کیٹیکولامینز کی سطح کی پیمائش کرتا ہے۔ Catecholamines ہارمونز ہیں جو ایڈرینل غدود کے ذریعہ بنائے جاتے ہیں۔ تین کیٹیکولامینز ایپی نیفرین (ایڈرینالین)، نوریپائنفرین اور ڈوپامائن ہیں۔"
Catecholamines (24hrs Urine),Test,Chem & Immuno,Urine,,"This test measures the levels of catecholamines in the blood. Catecholamines are hormones made by the adrenal glands. The three catecholamines are epinephrine (adrenalin), norepinephrine, and dopamine.","یہ ٹیسٹ خون میں کیٹیکولامینز کی سطح کی پیمائش کرتا ہے۔ Catecholamines ہارمونز ہیں جو ایڈرینل غدود کے ذریعہ بنائے جاتے ہیں۔ تین کیٹیکولامینز ایپی نیفرین (ایڈرینالین)، نوریپائنفرین اور ڈوپامائن ہیں۔"
Catheter TIP For C/S (Bacterial Culture & Sensitivity),Test,Microbiology,Others,,Culture is performed on sample to detect bacterial growth,بیکٹیریا کی افزائش کا پتہ لگانے کے لیے نمونے پر ثقافت کی جاتی ہے۔
CBC for Dengue,Test,Hematology,Plasma (EDTA / Purple Tube),,Complete blood picture test is done if dengue virus is detected,ڈینگی وائرس کا پتہ چلنے پر خون کی مکمل تصویر کا ٹیسٹ کیا جاتا ہے۔
CBC Without Differential,Test,Hematology,Plasma (EDTA / Purple Tube),,"A complete blood count (CBC) is a blood test used to evaluate your overall health and detect a wide range of disorders, including anemia, infection and leukemia.","ایک مکمل خون کی گنتی (CBC) ایک خون کا ٹیسٹ ہے جو آپ کی مجموعی صحت کا جائزہ لینے اور انیمیا، انفیکشن اور لیوکیمیا سمیت متعدد عوارض کا پتہ لگانے کے لیے استعمال ہوتا ہے۔"
CEA (Carcinoembryonic Antigen),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Carcinoembryonic antigen (CEA) is a protein normally found in very low levels in the blood of adults. The CEA blood level may be increased in certain types of cancer and non-cancerous (benign) conditions. A CEA test is most commonly used for colorectal cancer.,Carcinoembryonic antigen (CEA) ایک پروٹین ہے جو عام طور پر بالغوں کے خون میں بہت کم مقدار میں پایا جاتا ہے۔ سی ای اے خون کی سطح بعض قسم کے کینسر اور غیر کینسر والی (سومی) حالتوں میں بڑھ سکتی ہے۔ سی ای اے ٹیسٹ عام طور پر کولوریکٹل کینسر کے لیے استعمال کیا جاتا ہے۔
Ceruloplasmin,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test measures the amount of ceruloplasmin in your blood. Ceruloplasmin is a protein that is made in the liver. It stores and carries copper from the liver into the bloodstream and to the parts of your body that need it.,یہ ٹیسٹ آپ کے خون میں سیرولوپلاسمین کی مقدار کی پیمائش کرتا ہے۔ Ceruloplasmin ایک پروٹین ہے جو جگر میں بنتا ہے۔ یہ جگر سے تانبے کو خون کے دھارے میں اور آپ کے جسم کے ان حصوں تک لے جاتا ہے جنہیں اس کی ضرورت ہوتی ہے۔
Chloride (24 Hours Urine),Test,Chem & Immuno,Urine,,A 24-hour urine collection helps diagnose kidney problems. ,24 گھنٹے پیشاب جمع کرنے سے گردے کے مسائل کی تشخیص میں مدد ملتی ہے۔
Chloride (Fluid),Test,Chem & Immuno,Body Fluid,,A chloride blood test measures the amount of chloride in your blood. Chloride is a type of electrolyte.You usually get a chloride test as part of a routine blood screening to check your general health.,کلورائد خون کا ٹیسٹ آپ کے خون میں کلورائد کی مقدار کی پیمائش کرتا ہے۔ کلورائیڈ الیکٹرولائٹ کی ایک قسم ہے۔ آپ عام طور پر اپنی عام صحت کی جانچ کرنے کے لیے خون کی معمول کی جانچ کے حصے کے طور پر کلورائیڈ ٹیسٹ کرواتے ہیں۔
Chloride (Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A chloride blood test measures the amount of chloride in your blood. Chloride is a type of electrolyte.You usually get a chloride test as part of a routine blood screening to check your general health.,کلورائد خون کا ٹیسٹ آپ کے خون میں کلورائد کی مقدار کی پیمائش کرتا ہے۔ کلورائیڈ الیکٹرولائٹ کی ایک قسم ہے۔ آپ عام طور پر اپنی عام صحت کی جانچ کرنے کے لیے خون کی معمول کی جانچ کے حصے کے طور پر کلورائیڈ ٹیسٹ کرواتے ہیں۔
Chloride (Urine Random/Spot),Test,Chem & Immuno,Urine,,Chloride test is performed as part of overall health check,کلورائیڈ ٹیسٹ صحت کی مجموعی جانچ کے حصے کے طور پر کیا جاتا ہے۔
Cholesterol,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"A cholesterol test is a blood test that measures the amount of cholesterol and certain fats in your blood. Cholesterol is a waxy, fat-like substance that's found in your blood and every cell of your body. You need some cholesterol to keep your cells and organs healthy","کولیسٹرول ٹیسٹ ایک خون کا ٹیسٹ ہے جو آپ کے خون میں کولیسٹرول کی مقدار اور بعض چکنائیوں کی پیمائش کرتا ہے۔ کولیسٹرول ایک مومی، چربی نما مادہ ہے جو آپ کے خون اور آپ کے جسم کے ہر خلیے میں پایا جاتا ہے۔ آپ کو اپنے خلیات اور اعضاء کو صحت مند رکھنے کے لیے کچھ کولیسٹرول کی ضرورت ہے۔"
Cholinestrase,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Serum cholinesterase is a blood test that looks at levels of 2 substances that help the nervous system work properly. T,سیرم کولینسٹیریز ایک خون کا ٹیسٹ ہے جو 2 مادوں کی سطح کو دیکھتا ہے جو اعصابی نظام کو صحیح طریقے سے کام کرنے میں مدد کرتا ہے۔ ٹی
Chromosomal Analysis / Peripheral Blood for Karyotyping with History ,Test,Chem & Immuno,Whole Blood,,"Chromosome analysis is a test to look at the chromosomes in a sample of cells. It can help identify genetic abnormalities as the cause of a condition or disease. The test can count the number of chromosomes present, and look for any structural abnormalities in the chromosomes.","کروموسوم تجزیہ خلیات کے نمونے میں کروموسوم کو دیکھنے کے لیے ایک ٹیسٹ ہے۔ یہ کسی حالت یا بیماری کی وجہ کے طور پر جینیاتی اسامانیتاوں کی شناخت میں مدد کر سکتا ہے۔ ٹیسٹ میں موجود کروموسوم کی تعداد کو شمار کیا جا سکتا ہے، اور کروموسوم میں کسی ساختی اسامانیتا کو تلاش کیا جا سکتا ہے۔"
